Landmark,Full_Adress,Time
" KONDAPUR, HYDERABAD"," ""Sri Sai Thota Towers""Opp Aparna Towers,Plot No. 122 & 123, 1st Floor, Ravi Enclave,Kondapur Village, Serilingampally mandal,District Hyderabad 500084.PH-4041238888",11 AM to 11 PM 
" MADINAGUDA, HYDERABAD"," Ground Floor1-58/A/8, Madinaguda, Miyapur,Next to Bharat Petrol bunk,Hyderabad, 500049,AP.PH-040-42348888",11 AM to 11 PM 
" SR NAGAR, HYDERABAD"," No. 7-1-621/267(48/3RT),Ground Floor, Main Road,Near Community Hall Junction,SR Nagar, Hyderabad-500038.Andhra Pradesh.Ph No-040-43348888",11 AM to 11 PM 
 RAHEJA MINDSPACE IT PARK," Unit number 23 at Food court,Ground Floor, Building # 9, K. Raheja Mindspace IT Park,Hi Tech City,Hyderabad-500081 (A.P)",11 AM to 11 PM 
" LAKE VIEW, NANAKARAMGUDA"," Shop No G-1,Ground Floor“AVNI’S SREERANGANADHA DVR ECO-GRAND” “LAKE VIEW MALL”Sy.No.135 & 136 Nanakramguda Village,Serilingampally Mandal,Under GHMC,R.R. District,Hyderabad –500032 (A.P)    8978971842",11 AM to 11 PM 
 MANJEERA TRINITY MALL," Unit No 11, 3rd Floor, Food Court, “MANJEERA TRINITY MALL” Kukatpally,Hyderabad- 500072PH-040-66037555,666",11 AM to 11 PM 
" SUN CITY, HYDERABAD"," G.F,Plot No.76,Opposite Sun city, Appa Junction,Rajendranagar Mandal,RR Dist-500008PH-40-24198585",11 AM to 11 PM 
" KACHIGUDA, HYDERABAD"," Ground Floor,M.No-3-4-1081,3-4-1081/2 to 3-4-1081/9,M.No.3-4-1082,Kachiguda Road (near Kachiguda Railway Station),Hyderabad(A.P)500027",11 AM to 11 PM 
 R.T.C X ROAD," Ground Floor, No 1-7-1074,1-7-1074/A, R.T.C X ROAD, Akaram Village, Musheerabad, Hyderabad, Andhra Pradesh - 500020",11 AM to 11 PM 
" QUTHIBULLAPUR , R.R DIST"," Siri Towers Ground Floor,Shop NO 1 & 2 Quthibubulla Village, Chintal, Hyderabad- 500055",11 AM to 11 PM 
 SRILINGAMPALLY," Upper Ground Floor Plot No. 85,Survey No.103/1, ""Serilingampally Village"" under GHMC, Serilingampally Mandal, Ranga Reddy District,Hyderabad, Andhra Pradesh- 500032PH-040-69000288-94",11 AM to 11 PM 
